sessionid,period,subject,group,profit,totalprofit,participate,family,id,attempt,bankrpt,earned,format,move,multiply,pass,private,public,rank,test,total,answer1,answer2,history1,history2,history3,history4,response1,response2,v62,quota,quotaf,rankdraw,session,treatment,cmu,zurich,oldquiz,Quiz,Entry,HighGroup,QuizXEntry,QuizBQuota,SubjectID,GroupID,Family,GroupPeriodID,Period10Min,GroupSize,MinPublic,GroupDummy,MovePeriod,PriorToMove3,AfterMove3,PriorToMove1,AfterMove1,Incumbent,IncXEntry,IncXQuiz,IncXQuizXEntry,IncXQuizBQuota,MinPublicLastPeriod,PublicMinusLastMin,NumberMove,Last10MedianMinimum,MaxGroupSize,Phase2,QuizP2,EntryP2,QuizXEntryP2,QuizBQuotaP2,HighXGroupSize,HighXperiod,HighXPhase2,HighXEntry,HighXQuiz,HighXQuizXEntry,HighXQuizBQuota,HighXQuizP2,HighXEntryP2,HighXQuizXEntryP2,HighXQuizBQuotaP2,InitHigh,subjper,ContLag3,ContLag2,ContLag1,ContLead1,ContLead2,Contrib3Before,Contrib3After,Contrib1Before,Contrib1After,Mover3Dif,Mover1Dif,Contrib3BeforeInc,Contrib3AfterInc,Contrib1BeforeInc,Contrib1AfterInc,Inc3Dif,Inc1Dif,sessfam,Stage1Avg,Stage1Min,P10Minimum,LowMin10,HighMin10,omitted
140516_0946,9,16,3,31.42644,315.7021,0,2,4,-1,0,31.42644,-1,0,7.1352425,-1,0,7,1,-1,7,-1.0,-1.0,2,4,5,11,-1,-1,,,,,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1016.0,103.0,102.0,10309.0,,2.0,7.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1016.09,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,10.2,2.6,1.0,7.0,,,
080402_1329,9,13,2,26.985361,343.3034,0,1,7,-1,0,26.985361,1,0,10.090757,-1,4,3,8,3,2,-1.0,-1.0,1,4,5,10,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,213.0,22.0,21.0,2209.0,,8.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.09,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,2.1,4.1,2.0,2.0,,,1.0
080402_1329,13,13,2,30.952587,459.1793,0,1,7,0,0,30.952587,-1,0,9.390508,-1,5,2,8,-1,2,-1.0,-1.0,1,4,5,10,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,213.0,22.0,21.0,2213.0,2.0,6.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.13,3.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,2.1,4.1,2.0,2.0,,,1.0
080402_1329,9,17,2,26.985361,306.70786,0,1,9,-1,0,26.985361,-1,0,10.090757,-1,4,3,4,-1,2,-1.0,-1.0,3,2,3,8,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,22.0,21.0,2209.0,,8.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.09,4.0,3.0,2.0,5.0,2.0,,,,,,,,,,,,,2.1,4.1,2.0,2.0,,,1.0
080402_1329,15,13,2,25.972094,510.73624,0,1,7,0,0,25.972094,1,0,8.972093,-1,6,1,8,2,1,-1.0,-1.0,1,4,5,10,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,213.0,22.0,21.0,2215.0,2.0,5.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.15,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,2.1,4.1,2.0,2.0,,,1.0
140516_0946,19,6,1,27.669676,456.5895,0,1,3,-1,0,27.669676,-1,0,10.669677,-1,6,1,9,-1,1,-1.0,-1.0,5,6,5,16,-1,-1,,,,,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1006.0,101.0,101.0,10119.0,6.0,10.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,10.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.19,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,10.1,2.8666666,0.0,1.0,,,
140516_0946,20,20,3,27.669676,588.86523,0,2,7,-1,0,27.669676,-1,0,10.669677,-1,6,1,9,-1,1,-1.0,-1.0,5,5,5,15,-1,-1,,,,,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1020.0,103.0,102.0,10320.0,7.0,10.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,10.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.2,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,10.2,2.6,1.0,1.0,,,
080402_1329,6,14,2,37.07612,276.9973,0,1,8,-1,0,37.07612,1,0,10.090757,-1,4,3,10,2,3,-1.0,-1.0,4,4,4,12,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,214.0,22.0,21.0,2206.0,,8.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.06,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,2.1,4.1,2.0,2.0,,,1.0
080402_1329,10,9,1,21.0,226.13655,0,1,5,-1,0,21.0,1,0,7.1352425,-1,7,0,1,0,0,-1.0,-1.0,0,2,3,5,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,209.0,21.0,21.0,2110.0,0.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,209.1,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,2.1,4.1,2.0,0.0,2.0,0.0,1.0
140516_0946,4,6,2,16.894604,139.5771,0,1,3,-1,0,16.894604,1,0,10.090757,-1,4,3,9,3,1,-1.0,-1.0,5,6,5,16,-1,-1,,,,,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,102.0,101.0,10204.0,,8.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.04,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,10.1,2.8666666,0.0,1.0,,,
