_indiv,_obsind,_session,highcostrank,rank,samegrouprank,treatment_RankHet,treatment_RankHom
41,6.0,2,0.0,7.0,0.0,0,1
42,6.0,2,0.0,1.0,1.0,0,1
42,6.0,2,0.0,2.0,1.0,0,1
42,6.0,2,0.0,3.0,1.0,0,1
42,6.0,2,0.0,4.0,0.0,0,1
42,6.0,2,0.0,5.0,0.0,0,1
42,6.0,2,0.0,6.0,0.0,0,1
42,6.0,2,0.0,7.0,0.0,0,1
43,6.0,2,0.0,1.0,1.0,0,1
43,6.0,2,0.0,2.0,1.0,0,1
43,6.0,2,0.0,3.0,1.0,0,1
43,6.0,2,0.0,4.0,0.0,0,1
43,6.0,2,0.0,5.0,0.0,0,1
43,6.0,2,0.0,6.0,0.0,0,1
43,6.0,2,0.0,7.0,0.0,0,1
44,6.0,2,0.0,1.0,1.0,0,1
44,6.0,2,0.0,2.0,1.0,0,1
44,6.0,2,0.0,3.0,1.0,0,1
44,6.0,2,0.0,4.0,0.0,0,1
44,6.0,2,0.0,5.0,0.0,0,1
44,6.0,2,0.0,6.0,0.0,0,1
44,6.0,2,0.0,7.0,0.0,0,1
45,6.0,2,0.0,1.0,1.0,0,1
45,6.0,2,0.0,2.0,1.0,0,1
45,6.0,2,0.0,3.0,0.0,0,1
45,6.0,2,0.0,4.0,0.0,0,1
45,6.0,2,0.0,5.0,0.0,0,1
45,6.0,2,0.0,6.0,1.0,0,1
45,6.0,2,0.0,7.0,0.0,0,1
46,6.0,2,0.0,1.0,1.0,0,1
46,6.0,2,0.0,2.0,1.0,0,1
46,6.0,2,0.0,3.0,1.0,0,1
46,6.0,2,0.0,4.0,0.0,0,1
46,6.0,2,0.0,5.0,0.0,0,1
46,6.0,2,0.0,6.0,0.0,0,1
46,6.0,2,0.0,7.0,0.0,0,1
47,6.0,2,0.0,1.0,1.0,0,1
47,6.0,2,0.0,2.0,1.0,0,1
47,6.0,2,0.0,3.0,0.0,0,1
47,6.0,2,0.0,4.0,0.0,0,1
47,6.0,2,0.0,5.0,0.0,0,1
47,6.0,2,0.0,6.0,0.0,0,1
47,6.0,2,0.0,7.0,1.0,0,1
48,6.0,2,0.0,1.0,1.0,0,1
48,6.0,2,0.0,2.0,0.0,0,1
48,6.0,2,0.0,3.0,1.0,0,1
48,6.0,2,0.0,4.0,0.0,0,1
48,6.0,2,0.0,5.0,1.0,0,1
48,6.0,2,0.0,6.0,0.0,0,1
48,6.0,2,0.0,7.0,0.0,0,1
97,13.0,5,0.0,1.0,1.0,1,0
97,13.0,5,0.0,2.0,0.0,1,0
97,13.0,5,0.0,3.0,0.0,1,0
97,13.0,5,1.0,4.0,1.0,1,0
97,13.0,5,1.0,5.0,1.0,1,0
97,13.0,5,1.0,6.0,0.0,1,0
97,13.0,5,1.0,7.0,0.0,1,0
98,13.0,5,0.0,1.0,1.0,1,0
98,13.0,5,0.0,2.0,0.0,1,0
98,13.0,5,0.0,3.0,0.0,1,0
98,13.0,5,1.0,4.0,1.0,1,0
98,13.0,5,1.0,5.0,1.0,1,0
98,13.0,5,1.0,6.0,0.0,1,0
98,13.0,5,1.0,7.0,0.0,1,0
99,13.0,5,0.0,1.0,0.0,1,0
99,13.0,5,0.0,2.0,1.0,1,0
99,13.0,5,1.0,3.0,0.0,1,0
99,13.0,5,0.0,4.0,0.0,1,0
99,13.0,5,0.0,5.0,1.0,1,0
99,13.0,5,1.0,6.0,0.0,1,0
99,13.0,5,1.0,7.0,1.0,1,0
100,13.0,5,1.0,1.0,1.0,1,0
100,13.0,5,1.0,2.0,0.0,1,0
100,13.0,5,1.0,3.0,0.0,1,0
100,13.0,5,0.0,4.0,1.0,1,0
100,13.0,5,0.0,5.0,1.0,1,0
100,13.0,5,0.0,6.0,0.0,1,0
100,13.0,5,0.0,7.0,0.0,1,0
101,13.0,5,1.0,1.0,0.0,1,0
101,13.0,5,1.0,2.0,0.0,1,0
101,13.0,5,1.0,3.0,1.0,1,0
101,13.0,5,0.0,4.0,0.0,1,0
101,13.0,5,0.0,5.0,1.0,1,0
101,13.0,5,0.0,6.0,0.0,1,0
101,13.0,5,0.0,7.0,1.0,1,0
102,13.0,5,1.0,1.0,1.0,1,0
102,13.0,5,0.0,2.0,1.0,1,0
102,13.0,5,0.0,3.0,1.0,1,0
102,13.0,5,1.0,4.0,0.0,1,0
102,13.0,5,1.0,5.0,0.0,1,0
102,13.0,5,0.0,6.0,0.0,1,0
102,13.0,5,0.0,7.0,0.0,1,0
103,13.0,5,0.0,1.0,1.0,1,0
103,13.0,5,1.0,2.0,1.0,1,0
103,13.0,5,1.0,3.0,1.0,1,0
103,13.0,5,0.0,4.0,0.0,1,0
