;"Player";"Endowment";"Investment";"Pot";"Return";"Subject";"Delta",
270;20;20;8;32;8;"RAS_008";0,46
271;18;10;5;20;6;"RAS_008";0,46
272;14;10;4;16;5;"RAS_008";0,46
273;38;20;7;28;3;"RAS_008";0,46
274;24;20;5;20;1;"RAS_008";0,46
275;3;10;5;20;5;"RAS_008";0,46
276;26;10;1;4;0;"RAS_008";0,46
277;4;10;5;20;7;"RAS_008";0,46
278;16;10;9;36;17;"RAS_008";0,46
279;30;2;1;4;1;"RAS_008";0,46
280;12;20;10;40;12;"RAS_008";0,46
281;37;10;5;20;0;"RAS_009";0,35
282;32;10;10;40;13;"RAS_009";0,35
283;27;2;1;4;1;"RAS_009";0,35
284;30;2;1;4;1;"RAS_009";0,35
285;17;2;1;4;1;"RAS_009";0,35
286;33;10;7;28;8;"RAS_009";0,35
287;24;20;5;20;1;"RAS_009";0,35
288;31;5;2;8;2;"RAS_009";0,35
289;28;10;2;8;0;"RAS_009";0,35
290;8;2;2;8;4;"RAS_009";0,35
291;11;2;1;4;1;"RAS_009";0,35
292;15;20;7;28;5;"RAS_009";0,35
293;4;10;5;20;2;"RAS_009";0,35
294;34;10;8;32;3;"RAS_009";0,35
295;22;50;7;28;0;"RAS_009";0,35
296;23;20;9;36;3;"RAS_009";0,35
297;19;5;2;8;1;"RAS_009";0,35
298;25;10;5;20;2;"RAS_009";0,35
299;35;50;10;40;0;"RAS_009";0,35
300;6;10;5;20;4;"RAS_009";0,35
301;21;20;10;40;10;"RAS_009";0,35
302;5;20;4;16;0;"RAS_009";0,35
303;38;20;7;28;3;"RAS_009";0,35
304;16;10;9;36;15;"RAS_009";0,35
305;10;5;1;4;0;"RAS_009";0,35
306;29;5;5;20;14;"RAS_009";0,35
307;36;50;9;36;0;"RAS_009";0,35
308;18;10;5;20;5;"RAS_009";0,35
309;1;10;5;20;6;"RAS_009";0,35
310;26;10;1;4;0;"RAS_009";0,35
311;20;20;8;32;4;"RAS_009";0,35
312;7;5;4;16;5;"RAS_009";0,35
313;12;20;10;40;5;"RAS_009";0,35
314;39;20;9;36;6;"RAS_009";0,35
315;14;10;4;16;0;"RAS_009";0,35
316;3;10;5;20;4;"RAS_009";0,35
317;40;10;4;16;6;"RAS_009";0,35
318;9;10;5;20;8;"RAS_009";0,35
319;2;20;8;32;9;"RAS_009";0,35
320;13;50;8;32;0;"RAS_009";0,35
321;35;50;10;40;15;"RAS_010";0,53
322;2;20;8;32;12;"RAS_010";0,53
323;16;10;9;36;19;"RAS_010";0,53
324;31;5;2;8;3;"RAS_010";0,53
325;25;10;5;20;8;"RAS_010";0,53
326;11;2;1;4;2;"RAS_010";0,53
327;12;20;10;40;15;"RAS_010";0,53
328;4;10;5;20;7;"RAS_010";0,53
329;7;5;4;16;7;"RAS_010";0,53
330;1;10;5;20;10;"RAS_010";0,53
331;27;2;1;4;1;"RAS_010";0,53
332;14;10;4;16;6;"RAS_010";0,53
333;15;20;7;28;11;"RAS_010";0,53
334;23;20;9;36;15;"RAS_010";0,53
335;38;20;7;28;11;"RAS_010";0,53
336;40;10;4;16;6;"RAS_010";0,53
337;8;2;2;8;4;"RAS_010";0,53
338;36;50;9;36;13;"RAS_010";0,53
339;34;10;8;32;14;"RAS_010";0,53
340;22;50;7;28;12;"RAS_010";0,53
341;26;10;1;4;1;"RAS_010";0,53
342;20;20;8;32;11;"RAS_010";0,53
343;6;10;5;20;10;"RAS_010";0,53
344;29;5;5;20;10;"RAS_010";0,53
345;33;10;7;28;12;"RAS_010";0,53
346;39;20;9;36;12;"RAS_010";0,53
347;32;10;10;40;20;"RAS_010";0,53
348;9;10;5;20;7;"RAS_010";0,53
349;30;2;1;4;1;"RAS_010";0,53
350;17;2;1;4;1;"RAS_010";0,53
351;19;5;2;8;3;"RAS_010";0,53
352;3;10;5;20;7;"RAS_010";0,53
353;28;10;2;8;1;"RAS_010";0,53
354;18;10;5;20;7;"RAS_010";0,53
355;10;5;1;4;1;"RAS_010";0,53
356;21;20;10;40;20;"RAS_010";0,53
357;5;20;4;16;6;"RAS_010";0,53
358;37;10;5;20;7;"RAS_010";0,53
359;24;20;5;20;3;"RAS_010";0,53
360;13;50;8;32;2;"RAS_010";0,53
361;27;2;1;4;1;"RAS_011";0,65
362;7;5;4;16;12;"RAS_011";0,65
363;2;20;8;32;22;"RAS_011";0,65
364;29;5;5;20;15;"RAS_011";0,65
365;15;20;7;28;10;"RAS_011";0,65
366;39;20;9;36;16;"RAS_011";0,65
367;30;2;1;4;3;"RAS_011";0,65
368;9;10;5;20;10;"RAS_011";0,65
369;8;2;2;8;6;"RAS_011";0,65
370;31;5;2;8;3;"RAS_011";0,65
371;11;2;1;4;2;"RAS_011";0,65
372;22;50;7;28;3;"RAS_011";0,65
373;23;20;9;36;16;"RAS_011";0,65
374;5;20;4;16;12;"RAS_011";0,65
375;40;10;4;16;10;"RAS_011";0,65
376;6;10;5;20;8;"RAS_011";0,65
377;35;50;10;40;10;"RAS_011";0,65
378;24;20;5;20;10;"RAS_011";0,65
379;32;10;10;40;30;"RAS_011";0,65
380;26;10;1;4;1;"RAS_011";0,65
381;37;10;5;20;10;"RAS_011";0,65
382;1;10;5;20;10;"RAS_011";0,65
383;20;20;8;32;16;"RAS_011";0,65
384;3;10;5;20;10;"RAS_011";0,65
385;25;10;5;20;10;"RAS_011";0,65
386;12;20;10;40;20;"RAS_011";0,65
387;34;10;8;32;24;"RAS_011";0,65
388;21;20;10;40;20;"RAS_011";0,65
389;16;10;9;36;28;"RAS_011";0,65
390;14;10;4;16;10;"RAS_011";0,65
391;38;20;7;28;15;"RAS_011";0,65
392;28;10;2;8;2;"RAS_011";0,65
393;17;2;1;4;2;"RAS_011";0,65
394;33;10;7;28;19;"RAS_011";0,65
395;19;5;2;8;3;"RAS_011";0,65
396;10;5;1;4;1;"RAS_011";0,65
397;13;50;8;32;4;"RAS_011";0,65
398;4;10;5;20;8;"RAS_011";0,65
399;36;50;9;36;4;"RAS_011";0,65
400;18;10;5;20;8;"RAS_011";0,65
401;9;10;5;20;10;"RAS_014";0,44
402;2;20;8;32;10;"RAS_014";0,44
403;20;20;8;32;10;"RAS_014";0,44
404;14;10;4;16;9;"RAS_014";0,44
405;35;50;10;40;5;"RAS_014";0,44
406;31;5;2;8;2;"RAS_014";0,44
407;22;50;7;28;4;"RAS_014";0,44
408;12;20;10;40;10;"RAS_014";0,44
409;33;10;7;28;14;"RAS_014";0,44
410;19;5;2;8;2;"RAS_014";0,44
411;40;10;4;16;4;"RAS_014";0,44
412;8;2;2;8;4;"RAS_014";0,44
413;17;2;1;4;1;"RAS_014";0,44
414;24;20;5;20;2;"RAS_014";0,44
415;3;10;5;20;5;"RAS_014";0,44
416;32;10;10;40;20;"RAS_014";0,44
417;29;5;5;20;10;"RAS_014";0,44
418;4;10;5;20;4;"RAS_014";0,44
419;13;50;8;32;0;"RAS_014";0,44
420;36;50;9;36;0;"RAS_014";0,44
421;38;20;7;28;6;"RAS_014";0,44
422;25;10;5;20;5;"RAS_014";0,44
423;1;10;5;20;6;"RAS_014";0,44
424;16;10;9;36;16;"RAS_014";0,44
425;6;10;5;20;5;"RAS_014";0,44
426;7;5;4;16;7;"RAS_014";0,44
427;34;10;8;32;14;"RAS_014";0,44
428;11;2;1;4;0;"RAS_014";0,44
429;10;5;1;4;0;"RAS_014";0,44
430;15;20;7;28;3;"RAS_014";0,44
431;37;10;5;20;7;"RAS_014";0,44
432;21;20;10;40;10;"RAS_014";0,44
433;39;20;9;36;10;"RAS_014";0,44
434;27;2;1;4;1;"RAS_014";0,44
435;5;20;4;16;0;"RAS_014";0,44
436;30;2;1;4;0;"RAS_014";0,44
