,Subject,trust_group,RR,Investment
73,RAS_002,mid,0.35,5
74,RAS_002,hi,0.361111111111111,9
75,RAS_002,low,0,1
76,RAS_002,mid,0.25,1
77,RAS_002,low,0.35,10
78,RAS_002,mid,0.5,1
79,RAS_002,mid,0.21875,8
80,RAS_002,hi,0.25,2
81,RAS_003,mid,0.375,2
82,RAS_003,low,0.1875,4
83,RAS_003,mid,0.3125,8
84,RAS_003,mid,0.25,5
85,RAS_003,low,0.138888888888889,9
86,RAS_003,mid,0.25,5
87,RAS_003,low,0.25,1
88,RAS_003,mid,0.25,10
89,RAS_003,hi,0.1,5
90,RAS_003,mid,0.178571428571429,7
91,RAS_003,hi,0.25,2
92,RAS_003,mid,0.142857142857143,7
93,RAS_003,mid,0.25,2
94,RAS_003,mid,0.25,5
95,RAS_003,mid,0.25,5
96,RAS_003,mid,0.5,1
97,RAS_003,mid,0.25,5
98,RAS_003,low,0.357142857142857,7
99,RAS_003,mid,0.25,5
100,RAS_003,mid,0.25,5
101,RAS_003,mid,0.125,8
102,RAS_003,mid,0.166666666666667,9
103,RAS_003,low,0.59375,8
104,RAS_003,mid,0.5,10
105,RAS_003,mid,0.5,1
106,RAS_003,mid,0.5,1
107,RAS_003,hi,0.5625,4
108,RAS_003,hi,0.357142857142857,7
109,RAS_003,hi,0.25,8
110,RAS_003,low,0.5,1
111,RAS_003,mid,0.5,1
112,RAS_003,mid,0.5,4
113,RAS_003,hi,0.277777777777778,9
114,RAS_003,mid,0.5,4
115,RAS_003,low,0.5,2
116,RAS_003,mid,0.25,5
117,RAS_003,hi,0.25,10
118,RAS_003,mid,0.277777777777778,9
119,RAS_003,low,0.25,10
120,RAS_003,low,0.5,5
121,RAS_004,mid,0.4,5
122,RAS_004,mid,0.5,5
123,RAS_004,low,0.425,10
124,RAS_004,mid,0.5,1
125,RAS_004,mid,0.464285714285714,7
126,RAS_004,hi,0.5,5
127,RAS_004,hi,0.444444444444444,9
128,RAS_004,hi,0.5,7
129,RAS_004,mid,0.45,10
130,RAS_004,low,0.4,5
131,RAS_004,low,0.53125,8
132,RAS_004,low,0.5,1
133,RAS_004,mid,0.375,8
134,RAS_004,mid,0.5,5
135,RAS_004,mid,0.6,5
136,RAS_004,mid,0.5,1
137,RAS_004,low,0.5,9
138,RAS_004,mid,0.5,1
139,RAS_004,hi,0.40625,8
140,RAS_004,hi,0.4375,4
141,RAS_004,mid,0.25,1
142,RAS_004,low,0.25,1
143,RAS_004,low,0.4375,4
144,RAS_004,mid,0.464285714285714,7
145,RAS_004,hi,0.5,2
146,RAS_004,mid,0.4375,4
147,RAS_004,mid,0.425,10
148,RAS_004,mid,0.375,8
149,RAS_004,low,0.428571428571429,7
150,RAS_004,mid,0.5,2
151,RAS_004,mid,0.375,2
152,RAS_004,mid,0.4,5
153,RAS_004,mid,0.361111111111111,9
154,RAS_004,hi,0.35,10
155,RAS_004,mid,0.5,5
156,RAS_004,mid,0.0625,4
157,RAS_004,mid,0.4,5
158,RAS_004,mid,0.55,5
159,RAS_004,mid,0.5,9
160,RAS_004,low,0.25,2
161,RAS_005,mid,0.125,2
162,RAS_005,mid,0.25,1
163,RAS_005,hi,0.5,2
164,RAS_005,mid,0.25,1
165,RAS_005,mid,0.5,2
166,RAS_005,mid,0.5,4
167,RAS_005,mid,0.5,5
168,RAS_005,low,0.5,1
169,RAS_005,mid,0.5,1
170,RAS_005,low,0.4375,8
171,RAS_005,mid,0.555555555555556,9
172,RAS_005,hi,0.5,10
173,RAS_005,low,0.5,10
174,RAS_005,mid,0.5,10
175,RAS_005,mid,0.535714285714286,7
176,RAS_005,mid,0.5,5
177,RAS_005,mid,0.5,5
178,RAS_005,mid,0.5,5
179,RAS_005,low,0.5,5
180,RAS_005,hi,0.5,9
181,RAS_005,hi,0.53125,8
182,RAS_005,low,0.5,2
183,RAS_005,mid,0.5,5
184,RAS_005,mid,0.5,7
185,RAS_005,mid,0.5,5
186,RAS_005,low,0.555555555555556,9
187,RAS_005,mid,0.5,5
188,RAS_005,mid,0.5,10
189,RAS_005,low,0.5,1
190,RAS_005,mid,0.5,8
191,RAS_005,mid,0.5,4
192,RAS_005,mid,0.5,8
193,RAS_005,mid,0.555555555555556,9
194,RAS_005,low,0.5,7
195,RAS_005,low,0.5,4
196,RAS_005,mid,0.5,1
197,RAS_005,hi,0.5,5
198,RAS_005,mid,0.5,5
199,RAS_005,hi,0.5,7
200,RAS_005,hi,0.5,4
201,RAS_006,hi,0.125,10
202,RAS_006,mid,0.35,5
203,RAS_006,mid,0.5,5
204,RAS_006,mid,0.46875,8
205,RAS_006,mid,0.472222222222222,9
206,RAS_006,low,0.333333333333333,9
207,RAS_006,mid,0.5,1
208,RAS_006,low,0.5,8
209,RAS_006,hi,0.46875,8
210,RAS_006,hi,0.5,4
211,RAS_006,hi,0.5,9
212,RAS_006,low,0.5,4
213,RAS_006,hi,1,2
214,RAS_006,mid,0.55,5
215,RAS_006,mid,0.5,7
216,RAS_006,mid,0.5,7
217,RAS_006,mid,0.5,5
218,RAS_006,mid,0.25,1
219,RAS_006,low,0.285714285714286,7
220,RAS_006,mid,0.5,1
221,RAS_006,mid,0.5,5
222,RAS_006,mid,0.40625,8
223,RAS_006,mid,0.4,5
224,RAS_006,hi,0.65,5
225,RAS_006,low,0.25,10
226,RAS_006,low,0.4,5
227,RAS_006,mid,0.472222222222222,9
228,RAS_006,mid,0.75,2
229,RAS_006,low,0.5,1
230,RAS_006,mid,0.5,10
231,RAS_006,hi,0.535714285714286,7
232,RAS_006,mid,0.4375,4
233,RAS_006,mid,0.5,2
234,RAS_006,mid,0.5,1
235,RAS_006,low,0.25,2
236,RAS_006,mid,0.375,4
237,RAS_006,mid,0.5,5
238,RAS_006,mid,0.5,10
239,RAS_006,low,0.5,1
240,RAS_006,mid,0.5,5
241,RAS_008,hi,0.3,5
242,RAS_008,low,0.0625,8
243,RAS_008,mid,0.25,5
244,RAS_008,low,0,4
