PersonID,Condition,PrePostDepletion,Mean Consumption,Rounds,Starting value,Knows Opp,Friends,Knows Friends
68,0,0,23.3,3,1,1,1,2
69,0,0,21.6,3,1,1,1,2
70,0,0,25,3,1,1,1,2
71,0,0,32.5,2,1,1,1,2
72,0,0,20.5,2,1,1,1,2
73,0,0,100,1,1,0,0,0
74,0,0,59,1,1,0,0,0
75,0,0,20,1,1,0,0,0
76,0,0,32,1,1,0,0,0
77,0,0,17,2,1,1,1,2
78,0,0,62.5,2,1,1,1,2
79,0,0,21.6,3,1,0,0,0
80,0,0,16,3,1,0,0,0
81,0,0,40,1,1,1,1,2
82,0,0,22,1,1,1,1,2
83,0,0,27.5,2,1,0,0,0
84,0,0,25,2,1,0,0,0
85,0,0,25,8,1,1,1,2
86,0,0,22,8,1,1,1,2
87,0,0,25,1,1,1,1,2
88,0,0,35,1,1,1,1,2
89,0,0,28.75,4,1,0,0,0
90,0,0,12.5,4,1,0,0,0
91,0,0,25,1,1,1,1,2
92,0,0,30,1,1,1,1,2
93,0,0,35,3,1,0,0,0
94,0,0,20,3,1,0,0,0
95,0,0,22.5,8,1,0,0,0
96,0,0,22.63,8,1,0,0,0
97,0,0,60,1,1,1,1,2
98,0,0,48,1,1,1,1,2
99,0,0,45,1,1,0,0,0
100,0,0,27,1,1,0,0,0
101,0,0,21.6,3,1,1,1,2
102,0,0,30,3,1,1,1,2
103,0,0,30,1,1,1,1,2
104,0,0,25,1,1,0,0,0
105,0,0,28.5,2,1,0,0,0
106,0,0,20,2,1,0,0,0
107,0,0,25.4,5,1,1,1,2
108,0,0,18.6,5,1,1,1,2
109,0,0,30,1,1,1,1,2
110,0,0,25,1,1,1,1,2
111,0,0,30,3,1,1,1,2
112,0,0,25,3,1,1,1,2
113,0,0,15,2,1,0,0,0
114,0,0,26.5,2,1,0,0,0
1,0,1,4,2,1,0,0,0
2,0,1,6,2,1,0,0,0
3,0,1,2.83,6,1,0,0,0
4,0,1,9,6,1,0,0,0
5,0,1,3,1,1,1,1,2
6,0,1,30,1,1,1,1,2
7,0,1,24.75,4,1,0,0,0
8,0,1,11.25,4,1,0,0,0
9,0,1,5.83,6,1,1,1,2
10,0,1,19.16,6,1,1,1,2
11,0,1,2.88,8,1,0,1,1
12,0,1,4,8,1,0,1,1
13,0,1,4.66,3,1,0,0,0
14,0,1,5,3,1,0,0,0
15,0,1,2.6,3,1,1,1,2
16,0,1,5.6,3,1,1,1,2
17,0,1,3.75,4,1,0,0,0
18,0,1,5,4,1,0,0,0
19,0,1,,0,1,1,1,2
20,0,1,,0,1,1,1,2
21,0,1,3.5,2,1,0,0,0
22,0,1,1,2,1,0,0,0
23,0,1,6,1,1,0,0,0
24,0,1,6,1,1,0,0,0
25,0,1,9,3,1,1,1,2
26,0,1,11.6,3,1,1,1,2
27,0,1,2.5,2,1,0,0,0
28,0,1,3.5,2,1,0,0,0
29,0,1,33,1,1,1,1,2
30,0,1,8,1,1,1,1,2
31,0,1,10.6,3,1,1,1,2
32,0,1,9.6,3,1,1,1,2
33,0,1,5.5,4,1,1,1,2
34,0,1,2.5,4,1,1,1,2
35,0,1,9.3,3,1,1,1,2
36,0,1,5.6,3,1,1,1,2
37,0,1,,0,1,1,1,2
38,0,1,,0,1,1,1,2
39,0,1,20,1,1,1,1,2
40,0,1,20,1,1,1,1,2
41,0,1,8.3,3,1,0,0,0
42,0,1,6.6,3,1,0,0,0
43,0,1,7.5,2,1,0,0,0
44,0,1,12.5,2,1,0,0,0
45,0,1,4.5,2,1,1,1,2
46,0,1,6,2,1,1,1,2
47,0,1,7.5,2,1,0,0,0
48,0,1,8.5,2,1,0,0,0
49,0,1,2.6,3,1,0,0,0
50,0,1,3.6,3,1,0,0,0
51,0,1,1.5,2,1,1,1,2
52,0,1,2.5,2,1,1,1,2
53,0,1,20,1,1,0,0,0
54,0,1,30,1,1,0,0,0
55,0,1,5.6,5,1,0,1,1
56,0,1,3.4,5,1,0,1,1
57,0,1,1.3,3,1,1,1,2
58,0,1,2.3,3,1,0,1,1
59,0,1,11.75,4,1,0,0,0
60,0,1,8.25,4,1,0,0,0
63,0,1,10.6,3,1,1,1,2
64,0,1,5,3,1,1,1,2
65,0,1,40,1,1,1,1,2
66,0,1,15,1,1,1,1,2
67,0,1,10,1,1,1,1,2
68,0,1,30,1,1,1,1,2
69,0,1,17.5,2,1,1,1,2
70,0,1,17.5,2,1,1,1,2
71,0,1,15,1,1,1,1,2
72,0,1,20,1,1,1,1,2
73,0,1, ,0,1,0,0,0
74,0,1, ,0,1,0,0,0
75,0,1,2.3,3,1,0,0,0
76,0,1,14,3,1,0,0,0
77,0,1, ,0,1,1,1,2
78,0,1, ,0,1,1,1,2
79,0,1,2.5,4,1,0,0,0
80,0,1,7.75,4,1,0,0,0
81,0,1,7.2,5,1,1,1,2
82,0,1,1.29,5,1,1,1,2
83,0,1,10,1,1,0,0,0
84,0,1,40,1,1,0,0,0
85,0,1,3,7,1,1,1,2
86,0,1,5.14,7,1,1,1,2
87,0,1,11.6,3,1,1,1,2
88,0,1,2,3,1,1,1,2
89,0,1,4.6,5,1,0,0,0
90,0,1,3.8,5,1,0,0,0
91,0,1,35,1,1,1,1,2
92,0,1,10,1,1,1,1,2
93,0,1,2,2,1,0,0,0
94,0,1,6,2,1,0,0,0
95,0,1,4.16,6,1,0,0,0
96,0,1,6.6,6,1,0,0,0
97,0,1, ,0,1,1,1,2
98,0,1, ,0,1,1,1,2
99,0,1,7.25,4,1,0,0,0
100,0,1,2.75,4,1,0,0,0
101,0,1,8.5,2,1,1,1,2
102,0,1,11.5,2,1,1,1,2
103,0,1,11.5,2,1,1,1,2
104,0,1,12.5,2,1,0,0,0
105,0,1,14,2,1,0,0,0
106,0,1,13.5,2,1,0,0,0
107,0,1,3,1,1,1,1,2
108,0,1,2,1,1,1,1,2
109,0,1,20,1,1,1,1,2
110,0,1,45,1,1,1,1,2
111,0,1,4,2,1,1,1,2
112,0,1,6,2,1,1,1,2
113,0,1,5.5,4,1,0,0,0
114,0,1,6.25,4,1,0,0,0
