ppnr,round,verdiensten,decision,price,mydrop,groupid,ingroupid,cv,signal,session,treatment,droporder,dropone,droptwo,dropthree,dropfour,dropfive,sigorder,sigone,sigtwo,sigthree,sigfour,sigfive,nashbidone,nashbidtwo,nashbidthree,nashbidfour,nashbidfive,bidsignalone,bidsignaltwo,bidsignalthree,bidsignalfour,bidsignalfive,bidsignal,sigavgone,sigavgtwo,sigavgthree,sigavgfour,sigavgfive,sigavg,brbidsignalone,brbidsignaltwo,brbidsignalthree,brbidsignalfour,brbidsignalfive,brbidsignal,sigavgonereal,sigavgtworeal,sigavgthreereal,sigavgfourreal,sigavgfivereal,nashbidreal,brsigavg,nashbid,brsigavgone,brsigavgtwo,brsigavgthree,brsigavgfour,brsigavgfive,profit,avgtotverd,totverdeuros,earnings,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,infosource,angledeg
33,1,20,0,109,109,1,4,91,105,3,2,4,30,103,108,109,125,4,66,69,83,105,131,75.575,77.299,83.333,89.655,97.126,66,69,83,105,131,105,66,67.5,72.667,80.75,87.25,80.75,88.514,89.527,94.257,101.69,110.47,101.69,69,48,96.333,107.25,113.75,97.912,0,0,0,0,0,0,0,-18,17.5,25,100,,,,,,,,,,,,
33,2,20,0,90,90,1,4,74,69,3,2,3,12,77,90,90,92,2,59,69,76,112,112,70.546,76.293,79.31,89.655,89.655,59,69,76,112,112,69,59,64,68,79,79,64,86.149,89.527,91.892,104.05,104.05,89.527,76,35.5,74.333,109,109,72.23,0,0,0,0,0,0,0,-16,17.5,25,100,,,,,,,,,,,,
33,3,20,0,123,95,1,2,131,94,3,2,2,56,95,120,123,124,1,94,102,134,140,146,95.69,100.29,114.08,115.8,117.53,94,102,134,140,146,94,94,98,110,117.5,119,94,97.973,100.68,111.49,113.51,115.54,97.973,102,75,110,114.5,117.5,93.057,0,0,0,0,0,0,0,8,17.5,25,100,,,,,,,,,,,,
33,4,20,0,101,100,2,1,89,100,3,2,3,10,20,100,101,113,4,49,57,74,100,113,63.362,67.96,75.287,82.759,86.494,49,57,74,100,113,100,49,53,60,70,73.25,70,82.77,85.473,91.216,100,104.39,100,49,33.5,46.667,99.5,109.25,57.989,0,0,0,0,0,0,0,-12,17.5,25,100,,,,,,,,,,,,
33,5,-12,1,120,120,1,5,88,148,3,2,5,20,95,100,120,120,4,89,98,115,148,149,92.098,97.27,104.6,114.08,114.37,89,98,115,148,149,148,89,93.5,100.67,112.5,112.75,112.5,96.284,99.324,105.07,116.22,116.55,116.22,89,67.5,96,118,118.25,105.67,0,0,0,0,0,0,0,-32,17.5,25,100,,,,,,,,,,,,
33,6,20,0,125,100,2,2,137,148,3,2,1,100,118,125,125,126,4,105,128,146,148,153,103.59,116.81,124.57,125.14,126.58,105,128,146,148,153,148,105,116.5,126.33,131.75,133,131.75,101.69,109.46,115.54,116.22,117.91,116.22,148,102.5,127.33,119.25,113,103.59,0,0,0,0,0,0,0,12,17.5,25,100,,,,,,,,,,,,
33,7,20,0,115,100,2,5,89,127,3,2,2,55,100,113,115,116,4,32,67,119,127,128,51.149,71.264,93.678,95.977,96.264,32,67,119,127,128,127,32,49.5,72.667,86.25,86.5,86.25,77.027,88.851,106.42,109.12,109.46,109.12,32,91,89,113,110.75,72.759,0,0,0,0,0,0,0,-26,17.5,25,100,,,,,,,,,,,,
33,8,20,0,160,119,2,1,154,168,3,2,2,111,119,155,160,161,3,146,150,168,171,189,133.05,135.34,143.1,143.97,149.14,146,150,168,171,189,168,146,148,154.67,158.75,163.25,154.67,115.54,116.89,122.97,123.99,130.07,122.97,150,139.5,142.33,117.5,123.75,130.76,0,0,0,0,0,0,0,-6,17.5,25,100,,,,,,,,,,,,
33,9,20,0,82,72,1,1,119,71,3,2,2,50,72,80,82,100,2,49,71,74,109,124,63.362,76.006,77.299,87.356,91.667,49,71,74,109,124,71,49,60,64.667,75.75,79.5,60,82.77,90.203,91.216,103.04,108.11,90.203,74,60.5,84.333,93.25,112,74.138,0,0,0,0,0,0,0,37,17.5,25,100,,,,,,,,,,,,
33,10,20,0,51,50,2,5,56,43,3,2,3,0,25,50,51,80,2,33,43,47,55,64,51.868,57.615,59.339,61.638,64.224,33,43,47,55,64,43,33,38,41,44.5,46.75,38,77.365,80.743,82.095,84.797,87.838,80.743,47,16.5,31,94.75,97,46.121,0,0,0,0,0,0,0,5,17.5,25,100,,,,,,,,,,,,
33,11,20,0,110,110,1,5,97,119,3,2,4,94,105,106,110,112,4,89,101,104,119,125,92.098,98.994,100.29,104.6,106.32,89,101,104,119,125,119,89,95,98,103.25,104.75,103.25,96.284,100.34,101.35,106.42,108.45,106.42,89,97.5,104.67,110.75,112.25,107.51,0,0,0,0,0,0,0,-13,17.5,25,100,,,,,,,,,,,,
33,12,20,0,120,120,1,2,98,121,3,2,4,0,106,117,120,125,4,79,102,105,121,146,84.914,98.132,99.425,104.02,111.21,79,102,105,121,146,121,79,90.5,95.333,101.75,108,101.75,92.905,100.68,101.69,107.09,115.54,107.09,79,51,119.33,111.25,107.25,102.97,0,0,0,0,0,0,0,-22,17.5,25,100,,,,,,,,,,,,
33,13,20,0,111,110,2,1,118,117,3,2,3,53,105,110,111,113,3,52,112,117,141,142,65.517,100,102.16,109.05,109.34,52,112,117,141,142,117,52,82,93.667,105.5,105.75,93.667,83.784,104.05,105.74,113.85,114.19,105.74,52,82.5,109,116.25,116.5,101.99,0,0,0,0,0,0,0,7,17.5,25,100,,,,,,,,,,,,
