round,ppnr,groupid,ingroupid,bidnr,price,session,biddinground,currentprice,jump,decision,cv,signal,q5,q6,q7,q8,q9,q10,q11,q12,profit,firstjump,bidcount,entering,verdiensten
12,32,2,5,6,65,3,14,60,5,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,7,70,3,16,65,5,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,8,75,3,17,70,5,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,9,77,3,20,75,2,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,10,80,3,21,77,3,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,11,83,3,22,80,3,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,12,85,3,23,83,2,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,13,88,3,24,85,3,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,14,92,3,27,88,4,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,15,94,3,29,92,2,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,16,95,3,30,94,1,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,17,96,3,31,95,1,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,18,98,3,32,96,2,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,19,99,3,33,98,1,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,20,100,3,34,99,1,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,21,101,3,35,100,1,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,22,105,3,37,101,4,1,81,121,,,,,,,,,-22,,22,0,-22
13,32,1,1,1,40,3,2,0,40,0,91,63,,,,,,,,,1,40,1,1,0
14,32,2,4,1,100,3,3,50,50,1,130,162,,,,,,,,,-21,,9,0,-21
14,32,2,4,2,115,3,10,111,4,1,130,162,,,,,,,,,-21,,9,0,-21
14,32,2,4,3,130,3,14,123,7,1,130,162,,,,,,,,,-21,,9,0,-21
14,32,2,4,4,142,3,21,140,2,1,130,162,,,,,,,,,-21,,9,0,-21
14,32,2,4,5,144,3,22,143,1,1,130,162,,,,,,,,,-21,,9,0,-21
14,32,2,4,6,147,3,26,146,1,1,130,162,,,,,,,,,-21,,9,0,-21
14,32,2,4,7,149,3,27,147,2,1,130,162,,,,,,,,,-21,,9,0,-21
14,32,2,4,8,151,3,30,150,1,1,130,162,,,,,,,,,-21,,9,0,-21
14,32,2,4,9,152,3,31,151,1,1,130,162,,,,,,,,,-21,,9,0,-21
15,32,1,3,1,72,3,3,20,52,0,86,92,,,,,,,,,-6,,1,0,0
17,32,1,1,1,110,3,1,0,110,1,104,140,,,,,,,,,-16,110,4,1,-16
17,32,1,1,2,115,3,8,110,5,1,104,140,,,,,,,,,-16,110,4,1,-16
