period,subject,triangle,chooseup,numchooseupcircle,numchooseuptri,profit,partnerout,partnerin,allocateincoin0,allocateincoin1,allocateincoin2,sumcoinsallocatedin,totalprofit,normtriup,normadults,gameunequal,n_period,n_subjects,kindergarten,female,S_ID,I_ID
12,9,1,1,41,31,2,0,,,,,,7,1,1,1,13,10,1,0,48,4809
3,4,1,0,2,6,0,1,,,,,,1,1,0,0,13,8,1,1,85,1.50e+09
2,9,1,1,5,6,0,0,,,,,,0,0,1,0,13,10,1,0,10,1009
9,7,1,1,19,31,0,3,,,,,,4,1,0,0,13,10,0,0,47,4707
9,6,1,1,43,12,0,3,,,,,,6,0,0,1,13,10,0,0,39,3906
12,9,1,1,33,38,0,3,,,,,,13,0,1,1,13,10,0,0,9,909
6,8,1,1,12,17,0,1,,,,,,5,1,0,1,13,10,1,0,46,4608
11,8,1,0,37,34,0,3,,,,,,5,0,0,1,13,10,1,0,40,4008
2,4,1,0,6,2,1,0,,,,,,1,0,0,0,13,8,1,0,21,2104
4,5,1,1,15,11,0,0,,,,,,1,0,0,1,13,10,0,1,90,1.01e+09
13,7,1,,30,34,4,4,6,1,1,1,3,9,1,0,1,13,10,1,0,46,4607
4,5,1,0,9,14,0,4,,,,,,1,1,0,0,13,10,0,1,47,4705
1,6,1,0,4,2,1,2,,,,,,1,0,1,0,13,10,1,0,10,1006
10,5,1,0,25,7,1,1,,,,,,7,0,0,0,13,8,1,0,21,2105
11,7,1,1,33,22,2,0,,,,,,8,0,0,1,13,10,1,0,25,2507
2,7,1,0,8,2,1,1,,,,,,2,0,1,0,13,10,1,0,24,2407
6,9,1,1,20,18,0,0,,,,,,5,1,0,1,13,10,0,1,36,3609
2,5,1,1,5,8,0,0,,,,,,2,1,1,1,13,10,0,1,4,405
13,6,1,,42,27,4,1,5,1,1,1,3,13,0,0,0,13,10,1,1,41,4106
11,9,1,1,3,52,1,1,,,,,,10,1,1,0,13,10,0,1,30,3009
9,5,1,1,34,19,0,3,,,,,,4,0,0,0,13,10,1,0,41,4105
2,9,1,0,2,5,0,1,,,,,,0,1,0,0,13,10,1,1,33,3309
6,9,1,1,22,17,2,2,,,,,,6,0,0,1,13,10,0,1,90,1.01e+09
4,9,1,1,16,5,1,1,,,,,,3,0,0,0,13,10,0,1,49,4909
